params,mean_test_score,std_test_score,mean_fit_time,std_fit_time
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64], 'hidden_activation': 'relu'}",0.7541290283203125,0.012721239252298885,16.406593751907348,3.821804251560013
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 32], 'hidden_activation': 'relu'}",0.7371677875518798,0.026389692887056594,3015.841099500656,4028.5093179523346
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'relu'}",0.7180665850639343,0.03483166041860391,18.800931119918822,3.036742949762812
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [96, 16], 'hidden_activation': 'relu'}",0.713269829750061,0.03179729504659144,19.983504581451417,3.2164849183141944
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [96, 16], 'hidden_activation': 'relu'}",0.7115476608276368,0.021056969396725994,18.161739778518676,3.72143189893567
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'relu'}",0.6959511637687683,0.059277781781076594,21.194927883148193,0.034206928950948706
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 16], 'hidden_activation': 'relu'}",0.691147780418396,0.039811051947001644,24.04752621650696,12.157791269351026
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'leaky_relu'}",0.6033594191074372,0.07153304075991344,18.60170841217041,3.5513861408114615
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.0001, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'leaky_relu'}",0.5990068912506104,0.05391321890632882,15.256677389144897,2.994073709597414
"{'output_activation': 'sigmoid', 'optimizer_learning_rate': 0.01, 'optimizer': 'sgd', 'hidden_layer_sizes': [64, 8], 'hidden_activation': 'relu'}",0.5959850966930389,0.05925999116733497,17.0507924079895,3.5286189846284977
"{'output_activation': 'softmax', 'optimizer_learning_rate': 0.0001, 'optimizer': 'sgd', 'hidden_layer_sizes': [96, 8], 'hidden_activation': 'relu'}",0.5916900992393493,0.06902738558640847,1897.6711041927338,3744.7602106288377
